sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1;SK0101528595;Bratislava - mestska cast Stare Mesto;Bratislava-Stare Mesto;Bratislava-Stare Mesto;528595
2;SK0102529311;Bratislava - mestska cast Podunajske Biskupice;Bratislava-Podunajske Biskupice;Bratislava-Pod.Biskup.;529311
3;SK0102529320;Bratislava - mestska cast Ruzinov;Bratislava-Ruzinov;Bratislava-Ruzinov;529320
4;SK0102529338;Bratislava - mestska cast Vrakuna;Bratislava-Vrakuna;Bratislava-Vrakuna;529338
5;SK0103529346;Bratislava - mestska cast Nove Mesto;Bratislava-Nove Mesto;Bratislava-Nove Mesto;529346
6;SK0103529354;Bratislava - mestska cast Raca;Bratislava-Raca;Bratislava-Raca;529354
7;SK0103529362;Bratislava - mestska cast Vajnory;Bratislava-Vajnory;Bratislava-Vajnory;529362
8;SK0104529371;Bratislava - mestska cast Devinska Nova Ves;Bratislava-Devinska Nova Ves;Bratislava-Dev.Nova Ves;529371
9;SK0104529389;Bratislava - mestska cast Dubravka;Bratislava-Dubravka;Bratislava-Dubravka;529389
10;SK0104529397;Bratislava - mestska cast Karlova Ves;Bratislava-Karlova Ves;Bratislava-Karlova Ves;529397
11;SK0104529401;Bratislava - mestska cast Devin;Bratislava-Devin;Bratislava-Devin;529401
12;SK0104529419;Bratislava - mestska cast Lamac;Bratislava-Lamac;Bratislava-Lamac;529419
13;SK0104529427;Bratislava - mestska cast Zahorska Bystrica;Bratislava-Zahorska Bystrica;Bratislava-Zahor.Bystr.;529427
14;SK0105529435;Bratislava - mestska cast Cunovo;Bratislava-Cunovo;Bratislava-Cunovo;529435
15;SK0105529443;Bratislava - mestska cast Jarovce;Bratislava-Jarovce;Bratislava-Jarovce;529443
16;SK0105529460;Bratislava - mestska cast Petrzalka;Bratislava-Petrzalka;Bratislava-Petrzalka;529460
17;SK0105529494;Bratislava - mestska cast Rusovce;Bratislava-Rusovce;Bratislava-Rusovce;529494
18;SK0106500267;Zahorie (vojensky obvod);Zahorie;Zahorie (voj.obvod);500267
19;SK0106504556;Male Levare;Male Levare;Male Levare;504556
20;SK0106504629;Plavecke Podhradie;Plavecke Podhradie;Plavecke Podhradie;504629
21;SK0106504637;Plavecky Mikulas;Plavecky Mikulas;Plavecky Mikulas;504637
22;SK0106504769;Rohoznik;Rohoznik;Rohoznik;504769
23;SK0106504858;Solosnica;Solosnica;Solosnica;504858
24;SK0106504874;Studienka;Studienka;Studienka;504874
25;SK0106504947;Velke Levare;Velke Levare;Velke Levare;504947
26;SK0106504980;Zavod;Zavod;Zavod;504980
27;SK0106507831;Borinka;Borinka;Borinka;507831
28;SK0106507890;Gajary;Gajary;Gajary;507890
29;SK0106507954;Jablonove;Jablonove;Jablonove;507954
30;SK0106507962;Jakubov;Jakubov;Jakubov;507962
31;SK0106508012;Kostoliste;Kostoliste;Kostoliste;508012
32;SK0106508021;Kuchyna;Kuchyna;Kuchyna;508021
33;SK0106508039;Lab;Lab;Lab;508039
34;SK0106508055;Lozorno;Lozorno;Lozorno;508055
35;SK0106508063;Malacky;Malacky;Malacky;508063
36;SK0106508080;Marianka;Marianka;Marianka;508080
37;SK0106508161;Pernek;Pernek;Pernek;508161
38;SK0106508195;Plavecky Stvrtok;Plavecky Stvrtok;Plavecky Stvrtok;508195
39;SK0106508233;Stupava;Stupava;Stupava;508233
40;SK0106508241;Suchohrad;Suchohrad;Suchohrad;508241
41;SK0106508349;Vysoka pri Morave;Vysoka pri Morave;Vysoka pri Morave;508349
42;SK0106508365;Zahorska Ves;Zahorska Ves;Zahorska Ves;508365
43;SK0106508381;Zohor;Zohor;Zohor;508381
44;SK0107507806;Bahon;Bahon;Bahon;507806
45;SK0107507849;Budmerice;Budmerice;Budmerice;507849
46;SK0107507857;Casta;Casta;Casta;507857
47;SK0107507873;Dolany;Dolany;Dolany;507873
48;SK0107507881;Dubova;Dubova;Dubova;507881
49;SK0107507946;Jablonec;Jablonec;Jablonec;507946
50;SK0107507989;Svaty Jur;Svaty Jur;Svaty Jur;507989
51;SK0107508047;Limbach;Limbach;Limbach;508047
52;SK0107508101;Modra;Modra;Modra;508101
53;SK0107508179;Pezinok;Pezinok;Pezinok;508179
54;SK0107508187;Pila;Pila;Pila;508187
55;SK0107508225;Slovensky Grob;Slovensky Grob;Slovensky Grob;508225
56;SK0107508250;Senkvice;Senkvice;Senkvice;508250
57;SK0107508268;Stefanova;Stefanova;Stefanova;508268
58;SK0107508306;Vinicne;Vinicne;Vinicne;508306
59;SK0107508314;Vinosady;Vinosady;Vinosady;508314
60;SK0107508322;Vistuk;Vistuk;Vistuk;508322
61;SK0108503681;Boldog;Boldog;Boldog;503681
62;SK0108503797;Hruba Borsa;Hruba Borsa;Hruba Borsa;503797
63;SK0108503801;Hruby Sur;Hruby Sur;Hruby Sur;503801
64;SK0108503819;Hurbanova Ves;Hurbanova Ves;Hurbanova Ves;503819
65;SK0108503851;Kostolna pri Dunaji;Kostolna pri Dunaji;Kostolna pri Dunaji;503851
66;SK0108503894;Kralova pri Senci;Kralova pri Senci;Kralova pri Senci;503894
67;SK0108503983;Reca;Reca;Reca;503983
68;SK0108507814;Bernolakovo;Bernolakovo;Bernolakovo;507814
69;SK0108507822;Blatne;Blatne;Blatne;507822
70;SK0108507865;Cataj;Cataj;Cataj;507865
71;SK0108507903;Hamuliakovo;Hamuliakovo;Hamuliakovo;507903
72;SK0108507911;Chorvatsky Grob;Chorvatsky Grob;Chorvatsky Grob;507911
73;SK0108507938;Ivanka pri Dunaji;Ivanka pri Dunaji;Ivanka pri Dunaji;507938
74;SK0108507997;Kalinkovo;Kalinkovo;Kalinkovo;507997
75;SK0108508071;Malinovo;Malinovo;Malinovo;508071
76;SK0108508098;Miloslavov;Miloslavov;Miloslavov;508098
77;SK0108508110;Most pri Bratislave;Most pri Bratislave;Most pri Bratislave;508110
78;SK0108508136;Nova Dedinka;Nova Dedinka;Nova Dedinka;508136
79;SK0108508209;Rovinka;Rovinka;Rovinka;508209
80;SK0108508217;Senec;Senec;Senec;508217
81;SK0108508276;Tomasov;Tomasov;Tomasov;508276
82;SK0108508284;Turen;Turen;Turen;508284
83;SK0108508292;Velky Biel;Velky Biel;Velky Biel;508292
84;SK0108508331;Vlky;Vlky;Vlky;508331
85;SK0108545333;Dunajska Luzna;Dunajska Luzna;Dunajska Luzna;545333
86;SK0108555487;Igram;Igram;Igram;555487
87;SK0108555495;Kaplna;Kaplna;Kaplna;555495
88;SK0108555509;Zalesie;Zalesie;Zalesie;555509
89;SK0108582549;Novy Svet;Novy Svet;Novy Svet;582549
90;SK0211501433;Dunajska Streda;Dunajska Streda;Dunajska Streda;501433
91;SK0211501441;Bac;Bac;Bac;501441
92;SK0211501450;Baka;Baka;Baka;501450
93;SK0211501468;Balon;Balon;Balon;501468
94;SK0211501484;Blahova;Blahova;Blahova;501484
95;SK0211501492;Blatna na Ostrove;Blatna na Ostrove;Blatna na Ostrove;501492
96;SK0211501506;Bohelov;Bohelov;Bohelov;501506
97;SK0211501514;Cakany;Cakany;Cakany;501514
98;SK0211501522;Velky Meder;Velky Meder;Velky Meder;501522
99;SK0211501531;Cilizska Radvan;Cilizska Radvan;Cilizska Radvan;501531
100;SK0211501549;Dobrohost;Dobrohost;Dobrohost;501549
101;SK0211501557;Dolny Bar;Dolny Bar;Dolny Bar;501557
102;SK0211501573;Gabcikovo;Gabcikovo;Gabcikovo;501573
103;SK0211501581;Holice;Holice;Holice;501581
104;SK0211501590;Horna Poton;Horna Poton;Horna Poton;501590
105;SK0211501603;Horny Bar;Horny Bar;Horny Bar;501603
