sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1;SK0101;Okres Bratislava I;Bratislava I;Bratislava I;101
2;SK0102;Okres Bratislava II;Bratislava II;Bratislava II;102
3;SK0103;Okres Bratislava III;Bratislava III;Bratislava III;103
4;SK0104;Okres Bratislava IV;Bratislava IV;Bratislava IV;104
5;SK0105;Okres Bratislava V;Bratislava V;Bratislava V;105
6;SK0106;Okres Malacky;Malacky;Malacky;106
7;SK0107;Okres Pezinok;Pezinok;Pezinok;107
8;SK0108;Okres Senec;Senec;Senec;108
9;SK0211;Okres Dunajska Streda;Dunajska Streda;Dunajska Streda;201
10;SK0212;Okres Galanta;Galanta;Galanta;202
11;SK0213;Okres Hlohovec;Hlohovec;Hlohovec;203
12;SK0214;Okres Piestany;Piestany;Piestany;204
13;SK0215;Okres Senica;Senica;Senica;205
14;SK0216;Okres Skalica;Skalica;Skalica;206
15;SK0217;Okres Trnava;Trnava;Trnava;207
16;SK0221;Okres Banovce nad Bebravou;Banovce nad Bebravou;Banovce nad Bebravou;301
17;SK0222;Okres Ilava;Ilava;Ilava;302
18;SK0223;Okres Myjava;Myjava;Myjava;303
19;SK0224;Okres Nove Mesto nad Vahom;Nove Mesto nad Vahom;Nove Mesto nad Vahom;304
20;SK0225;Okres Partizanske;Partizanske;Partizanske;305
21;SK0226;Okres Povazska Bystrica;Povazska Bystrica;Povazska Bystrica;306
22;SK0227;Okres Prievidza;Prievidza;Prievidza;307
23;SK0228;Okres Puchov;Puchov;Puchov;308
24;SK0229;Okres Trencin;Trencin;Trencin;309
25;SK0231;Okres Komarno;Komarno;Komarno;401
26;SK0232;Okres Levice;Levice;Levice;402
27;SK0233;Okres Nitra;Nitra;Nitra;403
28;SK0234;Okres Nove Zamky;Nove Zamky;Nove Zamky;404
29;SK0235;Okres Sala;Sala;Sala;405
30;SK0236;Okres Topolcany;Topolcany;Topolcany;406
31;SK0237;Okres Zlate Moravce;Zlate Moravce;Zlate Moravce;407
32;SK031A;Okres Tvrdosin;Tvrdosin;Tvrdosin;510
33;SK031B;Okres Zilina;Zilina;Zilina;511
34;SK0311;Okres Bytca;Bytca;Bytca;501
35;SK0312;Okres Cadca;Cadca;Cadca;502
36;SK0313;Okres Dolny Kubin;Dolny Kubin;Dolny Kubin;503
37;SK0314;Okres Kysucke Nove Mesto;Kysucke Nove Mesto;Kysucke Nove Mesto;504
38;SK0315;Okres Liptovsky Mikulas;Liptovsky Mikulas;Liptovsky Mikulas;505
39;SK0316;Okres Martin;Martin;Martin;506
40;SK0317;Okres Namestovo;Namestovo;Namestovo;507
41;SK0318;Okres Ruzomberok;Ruzomberok;Ruzomberok;508
42;SK0319;Okres Turcianske Teplice;Turcianske Teplice;Turcianske Teplice;509
43;SK032A;Okres Velky Krtis;Velky Krtis;Velky Krtis;610
44;SK032B;Okres Zvolen;Zvolen;Zvolen;611
45;SK032C;Okres Zarnovica;Zarnovica;Zarnovica;612
46;SK032D;Okres Ziar nad Hronom;Ziar nad Hronom;Ziar nad Hronom;613
47;SK0321;Okres Banska Bystrica;Banska Bystrica;Banska Bystrica;601
48;SK0322;Okres Banska Stiavnica;Banska Stiavnica;Banska Stiavnica;602
49;SK0323;Okres Brezno;Brezno;Brezno;603
50;SK0324;Okres Detva;Detva;Detva;604
51;SK0325;Okres Krupina;Krupina;Krupina;605
52;SK0326;Okres Lucenec;Lucenec;Lucenec;606
53;SK0327;Okres Poltar;Poltar;Poltar;607
54;SK0328;Okres Revuca;Revuca;Revuca;608
55;SK0329;Okres Rimavska Sobota;Rimavska Sobota;Rimavska Sobota;609
56;SK041A;Okres Stara Lubovna;Stara Lubovna;Stara Lubovna;710
57;SK041B;Okres Stropkov;Stropkov;Stropkov;711
58;SK041C;Okres Svidnik;Svidnik;Svidnik;712
59;SK041D;Okres Vranov nad Toplou;Vranov nad Toplou;Vranov nad Toplou;713
60;SK0411;Okres Bardejov;Bardejov;Bardejov;701
61;SK0412;Okres Humenne;Humenne;Humenne;702
62;SK0413;Okres Kezmarok;Kezmarok;Kezmarok;703
63;SK0414;Okres Levoca;Levoca;Levoca;704
64;SK0415;Okres Medzilaborce;Medzilaborce;Medzilaborce;705
65;SK0416;Okres Poprad;Poprad;Poprad;706
66;SK0417;Okres Presov;Presov;Presov;707
67;SK0418;Okres Sabinov;Sabinov;Sabinov;708
68;SK0419;Okres Snina;Snina;Snina;709
69;SK042A;Okres Spisska Nova Ves;Spisska Nova Ves;Spisska Nova Ves;810
70;SK042B;Okres Trebisov;Trebisov;Trebisov;811
71;SK0421;Okres Gelnica;Gelnica;Gelnica;801
72;SK0422;Okres Kosice I;Kosice I;Kosice I;802
73;SK0423;Okres Kosice II;Kosice II;Kosice II;803
74;SK0424;Okres Kosice III;Kosice III;Kosice III;804
75;SK0425;Okres Kosice IV;Kosice IV;Kosice IV;805
76;SK0426;Okres Kosice - okolie;Kosice - okolie;Kosice - okolie;806
77;SK0427;Okres Michalovce;Michalovce;Michalovce;807
78;SK0428;Okres Roznava;Roznava;Roznava;808
79;SK0429;Okres Sobrance;Sobrance;Sobrance;809
