Kód;Územná jednotka;bez ukončeného vzdelania – osoby vo veku 0-14 rokov (abs.);základné vzdelanie (abs.);stredné odborné (učňovské) vzdelanie (bez maturity) (abs.);úplné stredné vzdelanie (s maturitou) (abs.);vyššie odborné vzdelanie (abs.);vysokoškolské vzdelanie (abs.);bez školského vzdelania – osoby vo veku 15 rokov a viac (abs.);nezistené (abs.)
SK0101528595;Bratislava - mestska cast Stare Mesto;5199;3715;2070;7262;1703;22446;31;3654
SK0102529311;Bratislava - mestska cast Podunajske Biskupice;2548;3053;3424;6048;1299;5614;63;1415
SK0102529320;Bratislava - mestska cast Ruzinov;9630;7514;6602;16917;3601;32074;76;4590
SK0102529338;Bratislava - mestska cast Vrakuna;2230;2599;2756;5213;1204;5441;35;1233
SK0103529346;Bratislava - mestska cast Nove Mesto;5581;4059;3110;8310;1780;18622;52;2944
SK0103529354;Bratislava - mestska cast Raca;3148;2565;2825;5842;1243;8374;26;1710
SK0103529362;Bratislava - mestska cast Vajnory;730;717;789;1468;318;1694;6;357
SK0104529371;Bratislava - mestska cast Devinska Nova Ves;1991;1790;2045;4216;961;5225;21;904
SK0104529389;Bratislava - mestska cast Dubravka;3993;3832;3721;8375;1834;12690;38;1723
SK0104529397;Bratislava - mestska cast Karlova Ves;3743;3129;2428;7544;1529;15587;35;1649
SK0104529401;Bratislava - mestska cast Devin;294;214;149;369;82;716;2;86
SK0104529419;Bratislava - mestska cast Lamac;953;747;610;1722;387;3012;17;341
SK0104529427;Bratislava - mestska cast Zahorska Bystrica;1138;798;489;1120;265;2528;5;198
SK0105529435;Bratislava - mestska cast Cunovo;272;206;189;383;72;470;1;42
SK0105529443;Bratislava - mestska cast Jarovce;470;362;296;531;135;851;6;55
SK0105529460;Bratislava - mestska cast Petrzalka;12878;10642;13651;26897;6364;37212;126;6230
SK0105529494;Bratislava - mestska cast Rusovce;623;625;454;817;203;1535;4;127
SK0106500267;Zahorie (vojensky obvod);8;13;30;49;13;25;0;9
SK0106504556;Male Levare;201;307;341;355;71;143;4;88
SK0106504629;Plavecke Podhradie;58;109;180;200;31;95;17;8
SK0106504637;Plavecky Mikulas;82;124;194;183;41;103;0;13
SK0106504769;Rohoznik (Okres Malacky);440;682;817;903;169;391;6;208
SK0106504858;Solosnica;184;297;437;444;84;193;2;30
SK0106504874;Studienka;164;309;449;433;89;193;5;43
SK0106504947;Velke Levare;370;884;882;884;183;383;10;123
SK0106504980;Zavod;372;613;790;715;140;261;12;75
SK0106507831;Borinka;120;113;133;186;38;234;0;36
SK0106507890;Gajary;371;664;736;710;139;261;8;274
SK0106507954;Jablonove (Okres Malacky);188;251;293;310;54;256;1;32
SK0106507962;Jakubov;210;312;458;435;91;170;1;59
SK0106508012;Kostoliste;254;282;317;482;96;280;0;57
SK0106508021;Kuchyna;188;290;438;483;106;204;1;59
SK0106508039;Lab;341;257;413;526;116;352;3;40
